Geom	GeoID
LINESTRING( -118.51684574385018 34.144361173008555, -118.506342 34.146563)	'060371397024014'
LINESTRING( -118.36083564838333 32.886531635635485, -118.293071 33.706607999999996)	'060375991001003'
LINESTRING( -118.50193230478811 33.45090389667436, -118.398687 33.736526999999995)	'060375991002007'
LINESTRING( -118.01771968969932 33.87515997640948, -118.018342 33.873402999999996)	'060375039022070'
LINESTRING( -118.2022683196682 33.853850769435375, -118.200607 33.85326899999999)	'060375717011002'
LINESTRING( -118.1886742759026 33.88241037632375, -118.18814722536973 33.88312260677359)	'060375422001038'
LINESTRING( -118.24862140924981 34.157952810229524, -118.2486111977015 34.15827128289223)	'060373011003012'
